trade_date,open,high,low,close,amount
20201201,165.03,167.78,165.03,166.43,108237.623
20201130,165,168.66,164.1,166.28,151069.922
20201127,162,164.78,161.24,163.99,108867.918
20201126,166.92,168.37,162.82,163,155403.085
20201125,169.62,170.31,166.81,166.91,123318.43
20201124,168.88,172.84,168.66,169.62,152141.48
20201123,168.65,170.67,166.78,168.88,127418.444
20201120,171.5,173.3,169.47,169.77,112634.071
20201119,169,172.5,166.71,171.17,128333.451
20201118,170.77,172.99,168.08,170.32,151845.822
20201117,174,175,167.11,171,235107.823
20201116,179.58,182.18,172.51,173.32,266345.079
20201113,180,181.79,175.8,179.2,189170.824
20201112,181,183.68,179.51,181.08,182876.827
20201111,186,188.29,179,179,340231.13
20201110,193.22,193.22,187.5,188.35,473495.398
20201109,190.02,202.99,190,197.18,727637.124
20201106,183.3,192.15,182.66,188.7,445176.004
20201105,182,184.63,179.13,183.38,264304.841
20201104,186,187.93,178,178.93,379571.014
20201103,185.95,190.66,183.03,184.92,380681.721
20201102,187.01,193.38,181.08,184.11,377113.853
20201030,183.43,193.88,183.43,187.08,576442.853
20201029,181.02,186.82,181,183.12,321515.612
20201028,187,190.04,182.72,183.89,388663.719
20201027,169.88,190.39,168.88,187.43,525108.71
20201026,170.02,172.9,166.56,169.8,214092.031
20201023,179.51,180.2,172.01,172.01,373336.873
20201022,186,189.98,179.08,179.18,414769.844
20201021,182.69,187.01,178.3,186.4,469257.188
20201020,181.45,185.88,178.53,182.96,368933.495
20201019,172.2,186.37,172.2,182.71,647545.238
20201016,170.49,173.98,170,171.4,210804.072
20201015,167.98,175,167.69,169.17,257138.987
20201014,171,172.74,168.28,168.35,161956.273
20201013,174.3,174.3,170.66,171.9,218964.471
20201012,164.94,175.65,164.03,174.3,354017.709
20201009,164,164.98,163.07,163.73,114628.812
20200930,162.11,163.5,159.8,160.19,97405.882
20200929,157.9,162.58,157.02,161.36,140840.143
20200928,162.45,163.42,156.5,156.88,163307.673
20200925,165,165.77,161.52,162.45,134494.754
20200924,169,170.67,164.01,164.51,188412.135
20200923,168.03,172.9,167.04,170.75,224991.493
20200922,169.98,170.71,166.68,167.65,172589.092
20200921,173.99,176.88,169.5,170.77,246903.266
20200918,173,176.5,172.01,174.26,283449.999
20200917,166.76,178,163.78,174.22,518489.58
20200916,167,170.55,165.39,166.77,237916.832
20200915,163.5,170.87,161.26,169.34,366601.497
20200914,164,167.5,163,164.72,256600.967
20200911,158.07,162.89,155.55,161.96,219382.545
20200910,162,165.77,157.33,157.58,235198.49
20200909,159,165.9,155,160.68,359860.676
20200908,163.51,163.51,160.01,160.86,236398.576
20200907,170.4,172.8,163.52,163.52,473534.23
20200904,166.78,182.3,166.78,174.53,606661.797
20200903,167.9,172.56,164.28,170.09,437472.228
20200902,170.99,172.35,167.12,167.76,248042.528
20200901,170.21,173.8,169.03,171.18,273420.605
20200831,173,177.2,170,170,382994.315
20200828,177.73,177.88,168.02,174.28,604292.859
20200827,177.2,188.87,170.51,182.56,586419.659
20200826,189.66,190.92,173.51,176.4,711521.259
20200825,198.38,199.88,189.66,189.98,513330.948
20200824,206.3,207.84,196.5,197.9,407457.573
20200821,202.5,205.62,201.11,204.95,219802.676
20200820,204,207.27,200.11,201.51,331414.026
20200819,213.88,214.5,204.87,205.2,411339.029
20200818,219.18,219.18,212.3,213.81,394749.715
20200817,213,219.8,209.68,219.08,443435.98
20200814,212.33,213.9,207.5,212.68,348869.12
20200813,219,219.6,212,212.5,375895.504
20200812,220.33,222,213.5,217.76,437985.755
20200811,220.88,226.3,219.1,221.49,499535.721
20200810,219.99,225.89,218,222.5,556920.403
20200807,240.98,240.98,223.37,227.44,1119390.462
20200806,233.96,247.45,231.8,243.83,1211258.41
20200805,246,246,236.79,236.92,985070.039
20200804,250.97,252.88,232.99,235,1424160.483
20200803,250.01,257.88,247.01,249.5,1760964.726
20200731,238.01,255.55,237.1,249.6,1392176.361
20200730,240,254.99,236.36,243.17,1516837.929
20200729,234.53,245.78,229.66,241.5,1312286.233
20200728,236,243.8,227.5,238.64,1410915.512
20200727,252.28,257.9,227.94,234.01,2022044.467
20200724,273,276,240.44,259.33,2940728.53
20200723,274.92,297.77,268,281.5,2791441.976
20200722,260,284.33,257.77,281,3450335.246
20200721,208,285.6,202,274,4292970.831
20200720,250,295,205.6,212.4,5645861.832
